127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000947
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002439
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000477
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000636
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000537
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001285
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000844
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000806
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000715
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/js/ajax_editor.js, HTTP/1.1, 200, 0.000491
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/js/typeahead.min.js, HTTP/1.1, 200, 0.000949
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000655
127.0.0.1, 2015-06-25 09:45:27, GET, /admin/static/_2.11.2/images/files_toggle.png, HTTP/1.1, 200, 0.000570
127.0.0.1, 2015-06-25 09:45:27, GET, /admin/default/edit/rpctest/controllers/rpctest.py, HTTP/1.1, 200, 0.098995
127.0.0.1, 2015-06-25 09:45:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
127.0.0.1, 2015-06-25 09:45:27, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.135918
